timestamps,TP9,AF7,AF8,TP10,Marker0
1594927524.388,-26.367,-15.137,-39.062,-48.340,0
1594927524.392,-29.297,-21.484,-38.574,-41.504,0
1594927524.396,-30.762,-23.926,-39.062,-41.992,0
1594927524.400,-38.086,-23.438,-38.574,-50.781,0
1594927524.404,-43.457,-26.367,-34.180,-51.270,0
1594927524.408,-46.387,-24.414,-30.273,-47.363,0
1594927524.412,-58.105,-23.438,-36.621,-52.246,0
1594927524.415,-54.688,-24.414,-38.574,-56.152,0
1594927524.419,-46.387,-20.996,-36.621,-52.734,0
1594927524.423,-41.504,-14.648,-33.691,-42.480,0
1594927524.427,-44.922,-14.648,-25.391,-36.621,0
1594927524.431,-46.387,-16.602,-27.344,-51.758,0
1594927524.444,-48.340,-14.160,-32.715,-62.988,0
1594927524.448,-52.734,-16.602,-34.180,-55.176,0
1594927524.452,-49.805,-18.555,-32.715,-49.316,0
1594927524.456,-36.133,-8.789,-25.391,-44.434,0
1594927524.460,-24.902,-0.977,-24.414,-37.109,0
1594927524.464,-25.879,-4.883,-30.273,-41.992,0
1594927524.468,-27.832,-9.277,-32.227,-38.574,0
1594927524.471,-38.574,-8.789,-25.879,-32.227,0
1594927524.475,-42.969,-6.836,-25.879,-29.297,0
1594927524.479,-37.598,-8.301,-40.039,-32.227,0
1594927524.483,-40.039,-8.789,-43.457,-40.039,0
1594927524.487,-40.527,-16.602,-36.133,-35.156,0
1594927524.482,-31.738,-15.625,-35.645,-38.086,0
1594927524.486,-29.785,-8.789,-34.668,-50.781,0
1594927524.490,-46.387,-13.184,-31.738,-51.270,0
1594927524.494,-47.852,-14.160,-31.738,-41.992,0
1594927524.498,-48.828,-12.695,-33.203,-41.504,0
1594927524.502,-46.875,-10.254,-33.203,-44.922,0
1594927524.506,-42.969,-11.719,-33.691,-41.016,0
1594927524.509,-44.922,-18.555,-30.273,-41.992,0
1594927524.513,-34.180,-21.484,-31.250,-37.598,0
1594927524.517,-31.738,-19.531,-32.715,-25.879,0
1594927524.521,-38.574,-20.020,-33.691,-27.344,0
1594927524.525,-38.086,-23.438,-30.273,-32.715,0
1594927524.538,-33.203,-18.066,-23.438,-35.645,0
1594927524.542,-25.879,-15.137,-29.297,-30.762,0
1594927524.546,-27.832,-12.695,-32.715,-29.297,0
1594927524.550,-33.203,-15.137,-31.250,-31.250,0
1594927524.554,-31.250,-12.207,-30.762,-28.320,0
1594927524.558,-27.344,-10.254,-31.250,-41.992,0
1594927524.562,-29.297,-18.555,-37.598,-36.133,0
1594927524.565,-35.156,-20.020,-38.574,-24.414,0
1594927524.569,-36.133,-21.973,-34.668,-35.645,0
1594927524.573,-34.668,-24.414,-39.551,-42.969,0
1594927524.577,-39.551,-21.484,-43.945,-46.387,0
1594927524.581,-38.086,-13.672,-42.480,-38.086,0
1594927524.575,-32.715,-7.812,-36.621,-38.086,0
1594927524.579,-36.133,-9.766,-35.156,-43.457,0
1594927524.583,-38.574,-5.859,-31.738,-36.133,0
1594927524.587,-41.992,-5.371,-27.832,-36.133,0
1594927524.591,-34.668,-8.789,-26.855,-33.203,0
1594927524.595,-26.367,-4.883,-24.902,-31.250,0
1594927524.599,-26.855,-4.883,-20.996,-33.691,0
1594927524.602,-33.203,-9.766,-22.949,-33.691,0
1594927524.606,-35.645,-13.184,-27.344,-37.598,0
1594927524.610,-30.762,-12.695,-28.809,-33.203,0
1594927524.614,-26.855,-10.742,-20.020,-26.367,0
1594927524.618,-22.461,-9.766,-18.066,-27.344,0
1594927524.632,-17.578,-7.812,-18.555,-19.531,0
1594927524.636,-19.043,-9.766,-25.391,-20.508,0
1594927524.640,-21.973,-17.090,-28.320,-25.879,0
1594927524.644,-28.809,-10.742,-26.367,-36.133,0
1594927524.648,-38.086,-1.465,-31.250,-39.551,0
1594927524.652,-41.504,-12.207,-31.250,-41.992,0
1594927524.656,-46.875,-16.113,-35.156,-42.480,0
1594927524.659,-49.316,-10.254,-32.227,-35.645,0
1594927524.663,-49.805,-11.230,-32.715,-41.016,0
1594927524.667,-50.781,-14.160,-38.086,-42.969,0
1594927524.671,-42.969,-13.672,-35.645,-37.598,0
1594927524.675,-42.969,-17.578,-36.133,-30.762,0
1594927524.670,-45.410,-20.996,-34.668,-30.762,0
1594927524.674,-37.109,-21.484,-28.809,-32.715,0
1594927524.678,-30.273,-17.578,-23.438,-26.855,0
1594927524.682,-30.273,-16.113,-23.926,-22.949,0
1594927524.686,-30.762,-24.414,-27.344,-24.902,0
1594927524.690,-35.645,-25.879,-31.738,-27.344,0
1594927524.694,-40.527,-22.949,-32.227,-27.344,0
1594927524.697,-36.621,-20.996,-28.809,-30.762,0
1594927524.701,-25.391,-20.020,-32.715,-30.762,0
1594927524.705,-31.250,-23.438,-30.762,-30.273,0
1594927524.709,-32.715,-18.555,-20.508,-48.828,0
1594927524.713,-27.344,-10.254,-26.367,-52.246,0
1594927524.727,-34.180,-13.184,-30.762,-45.410,0
1594927524.731,-44.922,-20.508,-35.156,-48.340,0
1594927524.735,-49.805,-18.555,-42.969,-45.410,0
1594927524.739,-45.410,-19.531,-43.945,-42.480,0
1594927524.743,-43.945,-20.996,-49.805,-41.992,0
1594927524.747,-42.480,-20.996,-56.641,-38.574,0
1594927524.751,-50.293,-26.367,-57.617,-37.598,0
1594927524.754,-50.781,-22.949,-48.828,-42.480,0
1594927524.758,-35.645,-19.043,-37.598,-44.434,0
1594927524.762,-31.250,-18.555,-32.227,-35.645,0
1594927524.766,-40.527,-17.090,-33.203,-40.039,0
1594927524.770,-36.133,-22.949,-36.133,-42.969,0
1594927524.763,-21.484,-19.531,-29.785,-42.969,0
1594927524.767,-15.137,-11.719,-27.832,-42.969,0
1594927524.771,-12.207,-11.719,-22.461,-39.062,0
1594927524.775,-20.996,-15.137,-14.648,-31.250,0
1594927524.779,-38.086,-14.648,-14.648,-25.391,0
1594927524.783,-42.969,-14.160,-18.555,-22.461,0
1594927524.787,-48.828,-19.043,-18.555,-26.855,0
1594927524.790,-55.664,-21.484,-17.578,-35.645,0
1594927524.794,-56.641,-16.113,-19.043,-42.969,0
1594927524.798,-48.340,-15.137,-24.902,-41.016,0
1594927524.802,-46.875,-18.066,-23.438,-48.828,0
1594927524.806,-52.734,-19.531,-25.391,-55.176,0
1594927524.819,-42.969,-18.555,-28.320,-45.898,0
1594927524.823,-31.738,-17.578,-28.809,-41.504,0
1594927524.827,-23.926,-15.625,-27.832,-39.551,0
1594927524.831,-23.438,-19.043,-28.320,-36.621,0
1594927524.835,-28.809,-23.438,-32.227,-37.109,0
1594927524.839,-24.902,-19.531,-32.715,-37.598,0
1594927524.843,-22.949,-17.578,-32.227,-32.715,0
1594927524.846,-25.391,-19.043,-30.273,-29.785,0
1594927524.850,-27.832,-18.066,-29.785,-35.156,0
1594927524.854,-23.438,-17.090,-30.762,-34.180,0
1594927524.858,-29.297,-18.555,-34.668,-41.016,0
1594927524.862,-40.527,-19.531,-37.598,-45.898,0
1594927524.859,-45.898,-18.066,-35.645,-49.316,0
1594927524.863,-46.875,-20.996,-31.738,-47.363,0
1594927524.867,-39.062,-18.555,-29.297,-45.898,0
1594927524.871,-39.062,-17.090,-37.598,-45.898,0
1594927524.875,-41.992,-17.090,-41.992,-44.434,0
1594927524.879,-41.016,-19.043,-37.109,-45.898,0
1594927524.883,-39.062,-19.043,-40.527,-42.969,0
1594927524.886,-38.574,-16.602,-39.062,-41.992,0
1594927524.890,-32.715,-12.695,-37.109,-38.574,0
1594927524.894,-27.344,-9.766,-37.109,-30.762,0
1594927524.898,-17.090,-9.277,-31.250,-32.227,0
1594927524.902,-20.020,-10.742,-31.250,-36.133,0
1594927524.913,-20.996,-13.184,-35.645,-37.109,0
1594927524.917,-20.996,-12.695,-35.645,-37.598,0
