,Ipsi Power,Contra Power
0,,
1,-3.901325059345679e-11,-5.690329828715396e-11
2,4.5689050702581816e-11,-1.8336668543798626e-11
3,2.0372512476783415e-11,-9.979737310386375e-11
4,2.56789284575387e-10,9.242117158567891e-11
5,1.1283590383267201e-10,-1.8181086746017215e-12
6,3.0900186904646416e-10,2.2793063224297248e-10
7,-1.3254566709328634e-10,-1.0137624717796208e-10
8,4.0860109207518245e-11,-2.4077161876056452e-11
9,8.16892663826598e-11,3.8159951997243736e-11
10,1.0733348435394676e-10,7.857312816942501e-11
11,5.134699436680549e-10,4.757364402676099e-10
12,-1.0883815453652915e-11,-3.2015165413132007e-11
13,1.0068111529678074e-10,-5.503095930271413e-11
14,-2.5431827507213524e-10,2.08593231682872e-10
15,-3.615777479250682e-11,4.4364548560711084e-11
16,-5.3545814586159723e-11,-6.901593213337108e-12
17,,
18,,
19,5.637907390701241e-13,3.49533017178205e-11
20,-9.26513402296485e-12,-8.017555587779558e-11
21,-2.4489270507859547e-10,-2.578760886366098e-10
22,2.682533519770206e-10,1.3221136607320587e-10
23,4.775386406088575e-11,1.0637019833570104e-10
24,-5.5006393033750886e-11,7.042736499107289e-12
25,1.907671040041906e-11,-1.6436415873097617e-10
26,2.7468717599493067e-11,3.666292589808638e-12
27,-9.699470419998481e-11,-8.944371222792015e-12
28,1.3457663016115745e-10,2.0965791963369585e-10
29,3.654299516648573e-11,7.463346568048658e-12
30,3.654299516648573e-11,7.463346568048658e-12
31,-3.3027372390695837e-11,8.43979066713715e-12
32,-4.425999623575514e-11,1.0881351750457423e-10
33,-4.177685614905349e-11,-6.517005454744086e-11
