dataset,pred_len,model,mse,mae,latency_ms,size_mb,compression_ratio,accuracy_impact_pct
weather,96,PyTorch (GPU),1838.6869,13.9091,85.08,3.48,1.00,0.00
weather,96,ONNX_FP32 (GPU),1838.6869,13.9091,106.70,3.58,1.03,-0.00
weather,96,ONNX_INT8 (CPU),1827.6387,13.8586,3032.36,1.07,3.33,-0.36
weather,192,PyTorch (GPU),1655.5248,12.4459,81.01,5.40,1.00,0.00
weather,192,ONNX_FP32 (GPU),1655.5248,12.4459,106.81,5.51,1.02,0.00
weather,192,ONNX_INT8 (CPU),1752.2177,12.9078,2994.85,1.56,3.54,3.71
weather,336,PyTorch (GPU),1771.0597,13.5740,84.62,8.29,1.00,0.00
weather,336,ONNX_FP32 (GPU),1771.0599,13.5740,107.30,8.39,1.01,0.00
weather,336,ONNX_INT8 (CPU),1826.3962,13.8840,3059.00,2.28,3.68,2.28
weather,720,PyTorch (GPU),1816.1785,13.5864,89.49,15.98,1.00,0.00
weather,720,ONNX_FP32 (GPU),1816.1782,13.5864,112.30,16.08,1.01,0.00
weather,720,ONNX_INT8 (CPU),1819.8799,13.6034,3135.68,4.20,3.83,0.13
