experiment,lr,warmup_ratio,loss_type,label_smoothing,test_auc,test_error,best_step,focal_gamma
a9a_sweep_lr0.005-wr5-ls0.0_2025.10.02_04-51-32,0.005,0.05,,0.0,0.9045569044313844,0.14814814814814814,612,
a9a_sweep_lr0.005-wr10-ls0.0_2025.10.02_05-05-46,0.005,0.1,,0.0,0.9035792935537283,0.14863951845709722,612,
a9a_sweep_lr0.01-wr5-ls0.0_2025.10.02_05-18-26,0.01,0.05,,0.0,0.9031478508838786,0.15091210613598674,612,
a9a_sweep_lr0.01-wr10-ls0.0_2025.10.02_05-29-57,0.01,0.1,,0.0,0.9034948816529259,0.15115779129046128,612,
a9a_sweep_lr0.005-wr5-ls0.05_2025.10.02_05-41-28,0.005,0.05,,0.05,0.9041941653540688,0.15318469381487623,612,
a9a_sweep_lr0.005-wr10-ls0.05_2025.10.02_05-53-01,0.005,0.1,,0.05,0.9036144895735516,0.15699281370923163,612,
a9a_sweep_lr0.01-wr5-ls0.05_2025.10.02_06-04-32,0.01,0.05,,0.05,0.9020128850992399,0.15515017505067255,612,
a9a_sweep_lr0.01-wr10-ls0.05_2025.10.02_06-16-05,0.01,0.1,,0.05,0.9038693771313377,0.1482709907253854,612,
a9a_sweep_lr0.005-wr5-focal1.5_2025.10.02_06-27-38,0.005,0.05,focal,,0.9038698998703816,0.14857809716847858,612,1.5
a9a_sweep_lr0.005-wr10-focal1.5_2025.10.02_06-39-12,0.005,0.1,focal,,0.9035375162493431,0.1489466249001904,612,1.5
a9a_sweep_lr0.01-wr5-focal1.5_2025.10.02_06-50-48,0.01,0.05,focal,,0.9027941656468028,0.15035931453841903,612,1.5
a9a_sweep_lr0.01-wr10-focal1.5_2025.10.02_07-02-54,0.01,0.1,focal,,0.9040012014634184,0.15183342546526626,612,1.5
a9a_sweep_lr0.005-wr5-focal2.0_2025.10.02_07-14-42,0.005,0.05,focal,,0.9035716929280306,0.15287758737178306,612,2.0
a9a_sweep_lr0.005-wr10-focal2.0_2025.10.02_07-26-28,0.005,0.1,focal,,0.903935822491203,0.1539831705669185,612,2.0
a9a_sweep_lr0.01-wr5-focal2.0_2025.10.02_07-38-23,0.01,0.05,focal,,0.9023579033229685,0.15269332350592715,612,2.0
a9a_sweep_lr0.01-wr10-focal2.0_2025.10.02_07-49-57,0.01,0.1,focal,,0.9031809507201358,0.15017505067256312,612,2.0
