epoch,train_loss,val_top1,val_top5
1,1.559422,59.32,86.92
2,0.565420,61.25,85.80
3,0.405365,61.96,86.81
4,0.370270,57.78,83.69
5,0.340720,65.27,85.96
6,0.313186,61.64,85.54
7,0.302797,62.91,85.73
8,0.289639,68.83,87.26
9,0.283666,56.67,81.36
10,0.256376,56.46,82.21
11,0.274204,64.05,86.47
12,0.248067,60.24,84.48
13,0.236605,61.35,84.09
14,0.236729,55.25,78.67
15,0.235908,63.34,85.59
16,0.223338,61.59,85.04
17,0.223578,59.37,84.09
18,0.220607,51.86,77.82
19,0.212280,61.46,83.85
20,0.232232,62.65,85.43
21,0.203804,64.74,86.36
